Full Address,id,lat,lng,adl
SUMITSU APPAREL PRIVATE LIMITED-Gurgaon,179,28.4996978,77.0824314,1
MAKEUP BASE,180,28.470389,77.0204723,1
SELLICAN,181,28.3615016,77.2961773,1
NA Enterprises,182,28.3669747,77.2847346,1
Q ONE,183,28.431345,76.9906051,1
AMAZING PRODUCTS PVT LTD,184,28.4686587,77.0446031,9
SUSHIEL ENTERPRISES,185,28.4412866,77.0822064,31
SERA GROUP,186,28.427668,77.045805,1
MAKEASY GLOBAL LLP,187,28.4111659,77.3062846,1
GOPIRAM & SONS BALAJI INDIA,188,28.3775859,76.9057598,177
MAXINIQUE SOLUTION PRIVATE LIMITED,189,28.4577673,77.0631437,2
J.B.D.S POWER,190,28.3641592,76.9354608,26
WHITE EARTH PRIVATE LIMITED,191,28.4374919,77.3029707,1
CORAL LIFE CARE,192,28.3922002,77.301675,1
BMM PRODUCTS,193,28.3318405,77.3336812,1
KIARA ENTERPRISES,194,28.3985667,76.9646908,2
STYLISH ICON,195,28.435152,77.315928,1
SHREYA COLLECTION,196,28.4916812,77.094897,2
FOOD4FLAVOUR DISCOVERTECH PRIVATE LIMITED,197,28.3633382,76.9506501,1
SAUBHAGYE CREATIONS,198,28.4610368,77.0098946,2
GUNMETAL STITCHES PRIVATE LIMITED,199,28.48971,77.062282,1
TARGET FABRICS,200,28.4748512,77.2997718,3
DEAL BUGS INDIA,201,28.4569508,77.3115166,2
FLAGBEARER,202,28.477012,77.002945,3
VLC VENTURES,203,28.3988654,76.9624803,1
